job_group,badge,company_name,title,deadline,address_main,address_total,experience,education,employment_type,salary,tech_stack,createdAt,crawledAt,url,description
네트워크 엔지니어,취업축하금,(주)온테스트,C# 솔루션 개발 엔지니어(대리급),2025-01-03 23:59:59,경기,경기,경력 3~5년,초대졸↑,정규직,회사내규에 따름,네트워크|솔루션|C++|생산|반도체,등록일 24/12/05,2024-12-10 02:47:50,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534013,
네트워크 엔지니어,,(주)백그라운드,#생활가전 외국계 기업# Mechanical Engineer,2024-12-31 23:59:59,서울,서울 성동구,경력5년↑,대졸↑,정규직,회사내규에 따름,기술엔지니어|제조|CAD|가전제품,수정일 24/12/05,2024-12-10 02:47:50,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502328,
퍼포먼스마케팅,상품기획·MD 지원 TOP100,던롭스포츠코리아(주),던롭스포츠코리아(주) 각 부문 채용,2024-12-14 23:59:59,서울,서울 서초구,신입·경력,초대졸↑,정규직·계약직,회사내규에 따름,퍼포먼스마케팅|마케팅|마케팅기획|마케팅전략|디지털마케팅,수정일 24/11/15,2024-12-10 02:49:04,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49400327,
Backend 개발자,워라밸,모노얼라이언스주식회사,웹 개발자 (JAVA) 경력(정규직) /개발/운영/유지,2024-12-31 23:59:59,서울,서울 구로구,경력 4~6년,대졸↑,정규직,회사내규에 따름,백엔드/서버개발|Java|웹개발|프론트엔드|AWS,등록일 24/11/20,2024-12-10 02:46:57,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434522,
iOS 개발자,인기있는,(주)더캐리,2024년 (주)더캐리 IT인력(정보혁신부) 전 부문 공개채용,2024-12-31 23:59:59,서울,서울 강남구,경력무관,대졸↑,정규직,회사내규에 따름,iOS|Android|앱개발|프론트엔드|Flutter,등록일 24/11/25,2024-12-10 02:47:09,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465265,
iOS 개발자,취업축하금,(주)크래프톤,Unity Platform SDK Developer,2024-12-25 23:59:59,서울,서울 강남구,경력 3~15년,학력무관,정규직,회사내규에 따름,iOS|Android|앱개발|게임개발|VR(가상현실),등록일 24/11/26,2024-12-10 02:47:09,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476509,
콘텐츠 마케터,교육 지원 TOP100,(주)아이비김영,[메가스터디교육그룹] 김영편입 학원 운영 (신입/경력),2024-12-13 23:59:59,서울,서울 서초구,신입·경력,대졸↑,정규직·인턴직,회사내규에 따름,콘텐츠기획|콘텐츠에디터|콘텐츠마케팅|마케팅|마케팅기획,수정일 24/12/05,2024-12-10 02:49:18,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535773,
회계담당자,,(주)포모나,경영관리 직원을 채용합니다,2024-12-19 23:59:59,서울,서울 강남구,경력무관,초대졸↑,정규직,회사내규에 따름,경영지원|마케팅기획|마케팅전략|마케팅기획|경영분석,수정일 24/12/06,2024-12-10 02:48:19,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428851,
UI디자이너,급성장중,(주)디오소프트랩,[디오소프트랩] UI/UX 디자이너 정규직/프리랜서 채용 공고,2024-12-28 23:59:59,서울,서울 강서구,경력3년↑,학력무관,정규직·프리랜서,회사내규에 따름,그래픽디자인|모바일디자인|시각디자인|앱디자인|웹디자인,등록일 24/11/28,2024-12-10 02:49:42,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484657,
데이터 엔지니어,취업축하금,(주)엔에스씨시스템,네트워크엔지니어 정규직 채용[경력],2024-12-28 23:59:59,서울,서울 금천구,신입,초대졸↑,정규직,회사내규에 따름,데이터엔지니어|SE(시스템엔지니어)|유지보수|네트워크|기술지원,수정일 24/11/29,2024-12-10 02:47:22,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494584,
